,total-evictions,avg-evictions,total-foreclosure-sales,avg-foreclosure-sales,total-lien-foreclosures,avg-lien-foreclosures,total-evictions-2017,eviction-filings-2017,eviction-rate-2017,total-evictions-2018,eviction-filings-2018,eviction-rate-2018,total-evictions-2019,eviction-filings-2019,eviction-rate-2019,foreclosure-sales-2017,foreclosure-sales-2018,foreclosure-sales-2019,lien-foreclosures-2017,lien-foreclosures-2018,lien-foreclosures-2019,avg-foreclosure-rate,foreclosure-rate-2017,foreclosure-rate-2018,foreclosure-rate-2019,avg-lien-foreclosure-rate,lien-foreclosure-rate-2017,lien-foreclosure-rate-2018,lien-foreclosure-rate-2019,avg-eviction-rate,ratio-to-mean-foreclosure-rate,ratio-to-mean-eviction-rate,avg-housing-loss-rate,evictions-pct-total-housing-loss,housing-loss-index,locale
drive-to-work,0.15762410494801596,0.15645581534648462,0.42291674113227395,0.411143316226635,0.5135307584693484,0.5098510949071131,0.15791648840314196,0.1777754553963639,0.05231321439644117,0.1397222234156024,0.1603095981254993,-0.018982161350753098,0.16347439549571585,0.18518028548441035,-0.009003703873719432,0.40783071326276465,0.3315114964146197,0.42172898580676893,0.5164910260838246,0.4255390595301061,0.47503512123687297,-0.1923600320689785,-0.12367458919681316,-0.16608716195068135,-0.14407719033329724,-0.06952477865736793,0.027740842008068572,0.05801477115551951,0.19904057201446348,-0.20381613059285067,-0.19236003206897864,-0.20381613059285084,-0.26113241942096416,-0.1226738145695088,-0.26113241942096427,hb
public-transport-to-work,0.5373197490539057,0.5371512772111762,-0.007304114161594705,-0.005886558465770991,0.044967752825537825,0.04693531028326579,0.516288746440668,0.5172716532690613,0.09821450985224045,0.5096204802932891,0.505840582500659,0.08196257604870533,0.5488060887176873,0.5402969780010127,0.07469707672610423,-0.006594855130805221,-0.00281721685749365,-0.01020856599164041,-0.007228934814446436,0.014229431525188555,0.11438690577338825,0.1049090904786512,0.07323427697316022,0.0347522932672735,0.043426630857229094,0.13404460553670808,0.07122366070387964,0.12627898140655633,0.12637947850277947,0.17348745076904057,0.10490909047865116,0.17348745076904054,0.4020861159125725,0.3857410424434756,0.4020861159125721,hb
vacant-properties,0.393269975504562,0.3933020222724814,0.049235521413832535,0.049013708622592765,0.17728371931041592,0.16917175483645291,0.3808783658276771,0.39255209200804164,0.021260766815880412,0.3868527933881478,0.3978797154064111,-0.04663045545670959,0.38939329730597216,0.3995682605570465,0.011423444503497594,0.0534439065421836,0.03495251713685089,0.04618142599308261,0.156233285269142,0.14521972902887537,0.18633503144690042,0.013257664169061203,0.018132755615688154,0.0019436240287795269,0.006412057790613703,0.06781503170505156,0.061977804040460785,0.1259905496280124,0.17763633578355081,-0.059785340777834525,0.013257664169061168,-0.0597853407778345,0.05952084388948013,0.19572568968330356,0.05952084388948018,hb
live-in-mobile-home,-0.0159115455869037,-0.016319329784929514,-0.06928114437387249,-0.07395304823652077,0.013377003985222324,0.02945045067690007,0.019887415326804075,0.009252486025325484,0.0716854323215789,-0.004309596092924411,-0.018098136224988785,0.03602441537534415,-0.049488980687109795,-0.06231044127470767,0.0516222410503988,-0.07946163040925165,-0.04042149717036113,-0.06814033782893948,0.02347879290077396,0.016668239153729034,-0.00275970167668637,-0.061480779466243314,-0.056380477346881695,-0.0407130335368451,-0.057177556626076306,-0.03735547208577732,-0.02782926724369676,-0.001171572688173709,-0.05629942865824236,0.07403416411099165,-0.0614807794662433,0.07403416411099166,0.08312236543834259,0.06321840391636882,0.08312236543834274,hb
pct-renter-occupied,0.6084287706759092,0.6084158418367567,-0.17643665895245428,-0.16427658706583506,-0.1649418952119912,-0.15690042934295553,0.584327376364241,0.5930121520943967,0.12562110812821325,0.5997463168621466,0.6074553079145878,0.18019221035244884,0.6050763532267069,0.6088223059144366,0.1478203938580114,-0.14588239590321078,-0.1761838172422033,-0.1681873633975042,-0.1874819218768318,-0.16176284645680455,-0.1064647781295562,0.35246958439242504,0.2882377770023409,0.2327738159876099,0.29363799100115007,0.30030026254789305,0.18274490428625065,0.15759483274589486,0.173969165860001,0.08454983687626999,0.35246958439242543,0.08454983687627006,0.54383549532002,0.7283286421260402,0.5438354953200195,hb
pct-owner-occupied,-0.6084287706759094,-0.6084158418367566,0.17643665895245433,0.16427658706583503,0.16494189521199118,0.1569004293429556,-0.5843273763642414,-0.5930121520943968,-0.1256211081282132,-0.5997463168621465,-0.6074553079145877,-0.1801922103524488,-0.6050763532267068,-0.6088223059144364,-0.1478203938580114,0.14588239590321078,0.1761838172422034,0.1681873633975043,0.18748192187683171,0.1617628464568045,0.10646477812955614,-0.35246958439242526,-0.2882377770023409,-0.2327738159876098,-0.29363799100115023,-0.30030026254789305,-0.18274490428625076,-0.15759483274589486,-0.173969165860001,-0.08454983687626996,-0.3524695843924255,-0.08454983687627005,-0.54383549532002,-0.7283286421260404,-0.5438354953200195,hb
pct-owner-occupied-mortgage,-0.5217432155370593,-0.5223413026068487,0.3165154930599892,0.3027435840629464,0.3132685159512989,0.3047287968119219,-0.5024800216423493,-0.504877550659555,-0.07514717242027431,-0.5224958614275543,-0.5245912798055843,-0.18935603744822935,-0.5118684876154975,-0.509215020767026,-0.15281162766390186,0.28110250166562634,0.29024470599387614,0.3041138615141984,0.3272009271106793,0.2947884537001931,0.2420299610667972,-0.30234191755243955,-0.23434710073081577,-0.19818676290474715,-0.24452867466326925,-0.16223626495326643,-0.046523334235767544,-0.037436265035600796,-0.016655057876944133,-0.1537784869049717,-0.30234191755244005,-0.15377848690497162,-0.5254583065481289,-0.6961441349712577,-0.5254583065481284,hb
pct-owner-occupied-without-mortgage,-0.42295531277659926,-0.4219973142573747,-0.13865659006413072,-0.1411224082869538,-0.17445508329633694,-0.1771191894294359,-0.404013173232494,-0.4179175273454967,-0.13807600007867188,-0.4041481261527504,-0.4165412416468341,-0.07099165312547191,-0.43152981745652086,-0.4432718512514626,-0.062173521011621186,-0.14364349506504248,-0.09986557917385996,-0.13575688085519735,-0.15039208621783776,-0.15045281132666383,-0.1786693883826891,-0.21624506955278763,-0.19611818690145208,-0.14502585326620504,-0.19113593522580063,-0.3535296191367861,-0.3012475383992789,-0.2642164899339476,-0.33236354302690263,0.06783960320789235,-0.2162450695527875,0.06783960320789231,-0.24550631769931344,-0.3401132419898338,-0.2455063176993134,hb
median-house-age,0.02005743536223862,0.0199535461672354,0.015551891003971018,0.018195178449981246,0.16254042566008323,0.1877606661758307,0.013961966179762732,0.01689049629574114,0.015412011280040402,0.02485132493579039,0.028884498284649684,0.012795788280701345,0.020058854572565316,0.02123068024116913,0.012569012741165422,-0.006396353785436365,0.01523103544658531,0.03448675372217305,0.12292563763427308,0.08703184188195243,0.2375333637411739,-0.027064504290295333,-0.03432092285287879,-0.026182892823875488,-0.017108939739980327,0.1516948956017604,0.06760339628577466,0.029417406633848044,0.2738093195336349,-0.02396605197532633,-0.02706450429029533,-0.023966051975326336,-0.01630168613694433,0.06458768431341816,-0.01630168613694433,hb
pct-non-white,0.5362478603174963,0.5359523294760538,0.04842605155500438,0.0495968286944629,0.1595488814498834,0.15568667578096812,0.5344235968766949,0.5320152340298901,0.15763128737223103,0.4987762052621642,0.4927973251201542,0.1607021319376332,0.5410704237087851,0.5310634886591442,0.15319285072292843,0.047942041517958923,0.023178396302882414,0.059604263472654274,0.12327579435282145,0.137543345439678,0.17676995438578705,0.21082725135874192,0.1891611652544875,0.1413080416766603,0.18329644754349345,0.2618459751543541,0.21125876473820368,0.2564464732511171,0.2629473754164388,0.2755199916072705,0.2108272513587416,0.2755199916072707,0.5678296981132136,0.4897272173058835,0.5678296981132142,hb
pct-without-health-insurance,0.39923044126519214,0.39804897506485226,-0.09295314637144445,-0.09060108840607911,-0.11339307783923053,-0.10663293185330017,0.4137791347775145,0.39676792948365003,0.2944355066405396,0.3712260827757521,0.35048333786966657,0.2213580254130783,0.3914297498998455,0.36949870835248216,0.24755628389916406,-0.09252503985768268,-0.09911209192038138,-0.06746380085570729,-0.09121499930733162,-0.1228450281852479,-0.09629410443864894,0.15359699583477154,0.09679762938790389,0.08601920717090614,0.134225076133957,0.14697122485238123,0.10560987866828538,0.044930938828220184,-0.019691685063240896,0.24102429576996842,0.15359699583477163,0.24102429576996862,0.4811453484119361,0.47405186932608795,0.48114534841193607,hb
total-evictions,1.0,0.9999823713874392,-0.00734108111876051,-0.009684595876163143,-0.007129761199873085,0.008686630423689494,0.9744047791824212,0.9693667705451577,0.2182566942344476,0.9823295481689207,0.9731391625235377,0.19978486794493214,0.9868664390247102,0.9702872127596607,0.20233850325646313,0.016814471830566828,-0.05550508007920138,0.010895396868599314,-0.027683682052514924,-0.008376537324899768,0.015099530758972681,0.20293035739522478,0.20626029830991735,0.08648599318669882,0.13986628191311512,0.20972170877944069,0.1138372315688728,0.13046642789620147,0.10685327662606155,0.42733688701305605,0.2029303573952248,0.4273368870130565,0.749071420974164,0.6438601877727086,0.7490714209741645,hb
avg-evictions,0.9999823713874392,1.0,-0.008121230528783215,-0.010431802375559483,-0.00762758427593877,0.008202086692444256,0.9743459908789488,0.9692868041725934,0.21598269329363973,0.9823391997320444,0.9731171077338581,0.19811439266355582,0.9868593483599034,0.9702366719852032,0.20114499498213617,0.016214983938972596,-0.05637893112941672,0.010186419847323611,-0.02822309871072637,-0.008724293960465673,0.014608102828353847,0.2027714633348993,0.20612950585174636,0.08617537728759056,0.13959000919366402,0.20946884726355613,0.11337355821096519,0.1302579838313169,0.10638942671774504,0.42748014318694766,0.20277146333489943,0.42748014318694827,0.7486851407756681,0.6432956328174095,0.7486851407756677,hb
total-foreclosure-sales,-0.00734108111876051,-0.008121230528783215,1.0,0.9975461118774053,0.5293594773574055,0.5258891485098901,-0.007792826345560648,-0.003361490681103932,-0.015039546406595737,-0.04249751097616395,-0.03205935685656732,-0.03440376766119089,0.019164470432123173,0.03475564469446957,-0.04451642563774315,0.9315750280177816,0.9069941105783829,0.9255211160632784,0.46761463059714614,0.47891131447635876,0.507961318020906,0.49137655053632867,0.5336197041422381,0.5445649458333293,0.5469319212432774,0.37596268503170316,0.3686480415679515,0.4398118625881052,0.4865773500049909,-0.016647999223700107,0.491376550536328,-0.01664799922370009,0.11993282712846268,-0.38480496300942796,0.11993282712846264,hb
avg-foreclosure-sales,-0.009684595876163143,-0.010431802375559483,0.9975461118774053,1.0,0.5303753704033546,0.5275044549228904,-0.010178214023988516,-0.005362655331274261,-0.023266450845347602,-0.045024242195556174,-0.03431918333992981,-0.031725081605176696,0.017107501239360647,0.03332724991015752,-0.05262120218928183,0.9262809566357372,0.9053620892497837,0.9257772643483906,0.4677412100646213,0.48208595907110496,0.5073194847019855,0.5028836303090383,0.5371955178618685,0.5499957476649955,0.5533817974832203,0.38301316609937747,0.3699320408916155,0.4482736574584511,0.4873260887826885,-0.018729707709129708,0.5028836303090382,-0.0187297077091297,0.12352554449698103,-0.38154159480749256,0.12352554449698093,hb
total-lien-foreclosures,-0.007129761199873085,-0.00762758427593877,0.5293594773574055,0.5303753704033546,1.0,0.9911541313009955,-0.01861505423127851,-0.012480214119987681,-0.011147605178987784,-0.04730750276438523,-0.03898374398012305,-0.028538161948934368,0.03145293923076845,0.04496121328569075,-0.04443318017064825,0.5196118544590511,0.38623800254597906,0.5495882965277057,0.9056113534428477,0.9243727296703989,0.9193838004638777,0.03618427356200664,0.05392990916313072,0.019504790940951002,0.058582699707843154,0.5108530239259309,0.4934378950141821,0.6603522657840863,0.735328929058541,-0.0288173180172953,0.03618427356200661,-0.028817318017295306,-0.04237120066197886,-0.17497674910577324,-0.04237120066197882,hb
avg-lien-foreclosures,0.008686630423689494,0.008202086692444256,0.5258891485098901,0.5275044549228904,0.9911541313009955,1.0,-0.0024264625198792376,0.003350110401658591,-0.01230237235831266,-0.029051435482727983,-0.021043095178369883,-0.02257451297018893,0.044344975784581055,0.05635521237383974,-0.04280441792754805,0.5199473387028364,0.3793852395516014,0.5458498607548318,0.894570790893646,0.914629094873215,0.9156999124101102,0.034645682369309254,0.05257960959429109,0.015226892168895657,0.05630062709681644,0.5279380721301626,0.4784995055799491,0.6533181427394948,0.7288787421900511,-0.020158062912763737,0.034645682369309226,-0.020158062912763723,-0.029300454714195557,-0.16867892183883987,-0.029300454714195547,hb
total-evictions-2017,0.9744047791824212,0.9743459908789488,-0.007792826345560648,-0.010178214023988516,-0.01861505423127851,-0.0024264625198792376,1.0,0.9901058877683961,0.23085574919005092,0.9392773686969975,0.9244937157243901,0.20758359836305884,0.9382497489745109,0.914960398643186,0.21047938825452775,0.009044990243405418,-0.06602564542419465,0.026480906700867057,-0.043499928100565195,-0.013521175087808788,0.003927232227081654,0.17185924499180402,0.1748548803997798,0.05247304574643324,0.12015534932452479,0.1825102853166753,0.08548444421063403,0.11846067056851985,0.08759034978439142,0.4116912500750701,0.17185924499180408,0.4116912500750701,0.722173983136099,0.6330975232811415,0.7221739831360994,hb
eviction-filings-2017,0.9693667705451577,0.9692868041725934,-0.003361490681103932,-0.005362655331274261,-0.012480214119987681,0.003350110401658591,0.9901058877683961,1.0,0.17800378502230232,0.9340374163577956,0.9377160978767906,0.15002480425532458,0.9370847761643926,0.933086008739694,0.1500834182444378,0.015228716565241225,-0.061356875158559025,0.02795796614806064,-0.03924477728335507,-0.006968023241217845,0.009867604539098008,0.17660878424067525,0.18075579440289094,0.057025082004778876,0.12907865177801484,0.18553543304749778,0.08797771166419298,0.12020712168195682,0.1033618242737236,0.3979415668473051,0.17660878424067541,0.39794156684730553,0.7049170915075085,0.6351636327880154,0.7049170915075088,hb
eviction-rate-2017,0.2182566942344476,0.21598269329363973,-0.015039546406595737,-0.023266450845347602,-0.011147605178987784,-0.01230237235831266,0.23085574919005092,0.17800378502230232,1.0,0.21287994320814385,0.16206129594127577,0.521983350551322,0.20338818259880478,0.14525127372838448,0.7291316011077518,-0.007581595849346392,-0.022818678388742096,-0.01259606872679995,-0.012926708412689066,-0.0018556080351324518,-0.0163545663448034,0.008358243552350647,0.009691030218619863,0.008898606600635314,-0.0002214269480633674,0.032051922779166214,0.044792761100847366,0.007127979110662997,-0.008555928495175275,0.08107884458682102,0.008358243552350667,0.081078844586821,0.2705602374688521,0.3960860053586323,0.27056023746885194,hb
total-evictions-2018,0.9823295481689207,0.9823391997320444,-0.04249751097616395,-0.045024242195556174,-0.04730750276438523,-0.029051435482727983,0.9392773686969975,0.9340374163577956,0.21287994320814385,1.0,0.9906703194653403,0.2015813045235836,0.956758405410998,0.9396595070295638,0.19779161305230633,-0.020962829275483586,-0.08085566504617743,-0.022133394617990524,-0.06411890794998573,-0.04391360232257647,-0.023451494260574367,0.20406240877279636,0.20252487709917513,0.09318767191324204,0.14456218263923906,0.1917546549942662,0.09938170263420124,0.09532493009210409,0.07586200472069884,0.4277666195225007,0.20406240877279647,0.4277666195225007,0.7409059369081616,0.6343184785354637,0.7409059369081618,hb
eviction-filings-2018,0.9731391625235377,0.9731171077338581,-0.03205935685656732,-0.03431918333992981,-0.03898374398012305,-0.021043095178369883,0.9244937157243901,0.9377160978767906,0.16206129594127577,0.9906703194653403,1.0,0.14664657037707812,0.9521115719729351,0.9541586409128735,0.14161886416234373,-0.010482513453959251,-0.07066709471009705,-0.013848276402154542,-0.05665855662593394,-0.03674158015950914,-0.015185552889770729,0.2153291948247592,0.2146228438982752,0.1049149968116974,0.1606095951440058,0.19801903598946208,0.10717451914342895,0.09845516762535504,0.09470355233342444,0.4113383545440058,0.21532919482475915,0.41133835454400575,0.725740378730416,0.6344791221026508,0.7257403787304162,hb
eviction-rate-2018,0.19978486794493214,0.19811439266355582,-0.03440376766119089,-0.031725081605176696,-0.028538161948934368,-0.02257451297018893,0.20758359836305884,0.15002480425532458,0.521983350551322,0.2015813045235836,0.14664657037707812,1.0,0.1839605643071248,0.1219317556685406,0.5793908374689786,-0.016165087695838232,-0.05135707669537565,-0.030717552461702678,-0.046826141196844785,-0.028264397175020557,-0.004709818360891911,0.012408357840544549,0.005838656812945862,-0.0019317474240016922,-0.006402533798790355,0.03790429250121714,0.019202593517846346,0.006573547162631065,-0.010139452809485815,0.26792658793172724,0.01240835784054456,0.26792658793172736,0.25509583560467486,0.36297149884230734,0.25509583560467475,hb
total-evictions-2019,0.9868664390247102,0.9868593483599034,0.019164470432123173,0.017107501239360647,0.03145293923076845,0.044344975784581055,0.9382497489745109,0.9370847761643926,0.20338818259880478,0.956758405410998,0.9521115719729351,0.1839605643071248,1.0,0.9893761727368533,0.19078664189714353,0.04935973673919766,-0.026312523807814712,0.023130516715825514,0.01241535443545022,0.022167247599686985,0.051061029379234325,0.21438036799924057,0.22135425160850694,0.10204005404315293,0.1436348889894886,0.2320911504510449,0.1395460386477801,0.15857723095252543,0.13850982631127015,0.41929013228384543,0.21438036799924087,0.4192901322838452,0.7359886442456497,0.6254013255706224,0.7359886442456501,hb
eviction-filings-2019,0.9702872127596607,0.9702366719852032,0.03475564469446957,0.03332724991015752,0.04496121328569075,0.05635521237383974,0.914960398643186,0.933086008739694,0.14525127372838448,0.9396595070295638,0.9541586409128735,0.1219317556685406,0.9893761727368533,1.0,0.1267348954538885,0.06424317504843843,-0.010680909165257543,0.03593125497275434,0.02546135975660479,0.034929379136373166,0.06243680376701455,0.2259977955955732,0.2334281855943749,0.11532668386361015,0.16114832950901212,0.2376362356150046,0.14748764238475734,0.16605576105334893,0.16004402062551779,0.3999494647567738,0.22599779559557298,0.399949464756774,0.7154475323957135,0.6169384523761636,0.7154475323957135,hb
eviction-rate-2019,0.20233850325646313,0.20114499498213617,-0.04451642563774315,-0.05262120218928183,-0.04443318017064825,-0.04280441792754805,0.21047938825452775,0.1500834182444378,0.7291316011077518,0.19779161305230633,0.14161886416234373,0.5793908374689786,0.19078664189714353,0.1267348954538885,1.0,-0.02738266999693967,-0.05634370240671081,-0.04182449885872313,-0.06032565904499012,-0.021550617366986245,-0.04232148078557371,-0.006479626576719677,-0.006115857247085134,-0.003867507590062636,-0.016887869734998787,0.013568896504148553,0.002830153846762136,-0.00021230233803419535,-0.04276181776059823,0.2813702176863023,-0.006479626576719657,0.2813702176863024,0.24865371592743485,0.39546247159377507,0.24865371592743457,hb
foreclosure-sales-2017,0.016814471830566828,0.016214983938972596,0.9315750280177816,0.9262809566357372,0.5196118544590511,0.5199473387028364,0.009044990243405418,0.015228716565241225,-0.007581595849346392,-0.020962829275483586,-0.010482513453959251,-0.016165087695838232,0.04935973673919766,0.06424317504843843,-0.02738266999693967,1.0,0.7754570578178618,0.7880442664155844,0.45000321550693373,0.4761721422862992,0.5007048980983981,0.45768748008467913,0.5614914921987574,0.478874354740132,0.46543811533831403,0.34854670264639515,0.32986501687051206,0.40589110361057895,0.4564526336128146,-0.01004949371630277,0.4576874800846785,-0.010049493716302777,0.11678873560023822,-0.3296310617184113,0.11678873560023832,hb
foreclosure-sales-2018,-0.05550508007920138,-0.05637893112941672,0.9069941105783829,0.9053620892497837,0.38623800254597906,0.3793852395516014,-0.06602564542419465,-0.061356875158559025,-0.022818678388742096,-0.08085566504617743,-0.07066709471009705,-0.05135707669537565,-0.026312523807814712,-0.010680909165257543,-0.05634370240671081,0.7754570578178618,1.0,0.7586722356367019,0.33918590407617877,0.35192569143267033,0.36990623968266173,0.4854869280973893,0.49576457652796424,0.6080639178255013,0.5004508316242571,0.28379154332188444,0.29093815059717876,0.35829306055307475,0.3781279987331126,-0.050031479284073976,0.4854869280973895,-0.05003147928407391,0.09952290689082124,-0.3947203476138013,0.0995229068908214,hb
foreclosure-sales-2019,0.010895396868599314,0.010186419847323611,0.9255211160632784,0.9257772643483906,0.5495882965277057,0.5458498607548318,0.026480906700867057,0.02795796614806064,-0.01259606872679995,-0.022133394617990524,-0.013848276402154542,-0.030717552461702678,0.023130516715825514,0.03593125497275434,-0.04182449885872313,0.7880442664155844,0.7586722356367019,1.0,0.49626158206955673,0.48896730357627405,0.5258607152073984,0.42099777377080994,0.41896857531883736,0.43561009584564764,0.5468876151439115,0.4030345136078618,0.39652907078562366,0.4511651603734791,0.507062082956204,0.008789273425593214,0.42099777377080977,0.00878927342559323,0.11376708462769489,-0.3463586901855673,0.11376708462769497,hb
